title,type,description,page_url,instructions
Practice | Practice Test Automation: exploratory case 2,exploratory,Auto-generated exploratory case for Practice | Practice Test Automation to click link https://practicetestautomation.,https://practicetestautomation.com/practice/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Practice | Practice Test Automation: exploratory case 3,exploratory,Auto-generated exploratory case for Practice | Practice Test Automation to click link HOME.,https://practicetestautomation.com/practice/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Practice | Practice Test Automation: exploratory case 4,exploratory,Auto-generated exploratory case for Practice | Practice Test Automation to click link PRACTICE.,https://practicetestautomation.com/practice/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Practice | Practice Test Automation: exploratory case 5,exploratory,Auto-generated exploratory case for Practice | Practice Test Automation to click link COURSES.,https://practicetestautomation.com/practice/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
Courses | Practice Test Automation: exploratory case 1,exploratory,"Auto-generated exploratory case for Courses | Practice Test Automation to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/courses/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Courses | Practice Test Automation: exploratory case 2,exploratory,Auto-generated exploratory case for Courses | Practice Test Automation to click link https://practicetestautomation.,https://practicetestautomation.com/courses/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Courses | Practice Test Automation: exploratory case 3,exploratory,Auto-generated exploratory case for Courses | Practice Test Automation to click link HOME.,https://practicetestautomation.com/courses/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Courses | Practice Test Automation: exploratory case 4,exploratory,Auto-generated exploratory case for Courses | Practice Test Automation to click link PRACTICE.,https://practicetestautomation.com/courses/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Courses | Practice Test Automation: exploratory case 5,exploratory,Auto-generated exploratory case for Courses | Practice Test Automation to click link COURSES.,https://practicetestautomation.com/courses/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
AI-powered test automation — a live workshop: exploratory case 1,exploratory,Auto-generated exploratory case for AI-powered test automation — a live workshop to click link Powered By Kit.,https://dmytro-shyshkin.kit.com/ai-workshop,verify page loads | capture DOM before actions | click https://kit.com/features/forms?utm_campaign=poweredby&utm_content=form&utm_medium=referral&utm_source=dynamic | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
AI-powered test automation — a live workshop: exploratory case 2,exploratory,Auto-generated exploratory case for AI-powered test automation — a live workshop to click action Join the waitlist.,https://dmytro-shyshkin.kit.com/ai-workshop,verify page loads | capture DOM before actions | click Join the waitlist | capture DOM after click
AI-powered test automation — a live workshop: exploratory case 3,exploratory,Auto-generated exploratory case for AI-powered test automation — a live workshop to fill field email_address.,https://dmytro-shyshkin.kit.com/ai-workshop,verify page loads | capture DOM before actions | fill email_address with happy_path_input | capture DOM after input
AI-powered test automation — a live workshop: exploratory case 4,exploratory,Auto-generated exploratory case for AI-powered test automation — a live workshop to fill field tags[].,https://dmytro-shyshkin.kit.com/ai-workshop,verify page loads | capture DOM before actions | fill tags[] with edge_case_input | capture DOM after input
AI-powered test automation — a live workshop: exploratory case 5,exploratory,Auto-generated exploratory case for AI-powered test automation — a live workshop to fill field tags[].,https://dmytro-shyshkin.kit.com/ai-workshop,verify page loads | capture DOM before actions | fill tags[] with invalid_input | capture DOM after input
Blog | Practice Test Automation: exploratory case 1,exploratory,"Auto-generated exploratory case for Blog | Practice Test Automation to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/blog/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/blog/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Blog | Practice Test Automation: exploratory case 2,exploratory,Auto-generated exploratory case for Blog | Practice Test Automation to click link https://practicetestautomation.,https://practicetestautomation.com/blog/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Blog | Practice Test Automation: exploratory case 3,exploratory,Auto-generated exploratory case for Blog | Practice Test Automation to click link HOME.,https://practicetestautomation.com/blog/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Blog | Practice Test Automation: exploratory case 4,exploratory,Auto-generated exploratory case for Blog | Practice Test Automation to click link PRACTICE.,https://practicetestautomation.com/blog/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Blog | Practice Test Automation: exploratory case 5,exploratory,Auto-generated exploratory case for Blog | Practice Test Automation to click link COURSES.,https://practicetestautomation.com/blog/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
Contact | Practice Test Automation | Selenium WebDriver: exploratory case 1,exploratory,"Auto-generated exploratory case for Contact | Practice Test Automation | Selenium WebDriver to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/contact/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/contact/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Contact | Practice Test Automation | Selenium WebDriver: exploratory case 2,exploratory,Auto-generated exploratory case for Contact | Practice Test Automation | Selenium WebDriver to click link https://practicetestautomation.,https://practicetestautomation.com/contact/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Contact | Practice Test Automation | Selenium WebDriver: exploratory case 3,exploratory,Auto-generated exploratory case for Contact | Practice Test Automation | Selenium WebDriver to click link HOME.,https://practicetestautomation.com/contact/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Contact | Practice Test Automation | Selenium WebDriver: exploratory case 4,exploratory,Auto-generated exploratory case for Contact | Practice Test Automation | Selenium WebDriver to click link PRACTICE.,https://practicetestautomation.com/contact/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Contact | Practice Test Automation | Selenium WebDriver: exploratory case 5,exploratory,Auto-generated exploratory case for Contact | Practice Test Automation | Selenium WebDriver to click link COURSES.,https://practicetestautomation.com/contact/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
Privacy Policy | Practice Test Automation: exploratory case 1,exploratory,"Auto-generated exploratory case for Privacy Policy | Practice Test Automation to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/privacy-policy/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/privacy-policy/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Privacy Policy | Practice Test Automation: exploratory case 2,exploratory,Auto-generated exploratory case for Privacy Policy | Practice Test Automation to click link https://practicetestautomation.,https://practicetestautomation.com/privacy-policy/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Privacy Policy | Practice Test Automation: exploratory case 3,exploratory,Auto-generated exploratory case for Privacy Policy | Practice Test Automation to click link HOME.,https://practicetestautomation.com/privacy-policy/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Privacy Policy | Practice Test Automation: exploratory case 4,exploratory,Auto-generated exploratory case for Privacy Policy | Practice Test Automation to click link PRACTICE.,https://practicetestautomation.com/privacy-policy/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Privacy Policy | Practice Test Automation: exploratory case 5,exploratory,Auto-generated exploratory case for Privacy Policy | Practice Test Automation to click link COURSES.,https://practicetestautomation.com/privacy-policy/,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 1,exploratory,"Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link Press ""Enter"" to skip to conte.",https://practicetestautomation.com/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/#main-container | verify page loads | capture DOM after click | verify links are visible | submit required inputs incorrectly
Practice Test Automation | Learn Selenium WebDriver: exploratory case 2,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link https://practicetestautomation.,https://practicetestautomation.com/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 3,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link HOME.,https://practicetestautomation.com/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 4,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link PRACTICE.,https://practicetestautomation.com/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/practice/ | verify page loads | capture DOM after click
Practice Test Automation | Learn Selenium WebDriver: exploratory case 5,exploratory,Auto-generated exploratory case for Practice Test Automation | Learn Selenium WebDriver to click link COURSES.,https://practicetestautomation.com/#main-container,verify page loads | capture DOM before actions | click https://practicetestautomation.com/courses/ | verify page loads | capture DOM after click
